_id,score,user_id,anime_id
666a7cd920b09da894589786,10,38117,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589787,7,13591,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589788,6,67429,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589789,9,43882,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458978a,10,68131,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458978b,10,42569,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458978c,10,8654,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458978d,7,19842,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458978e,4,99731,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458978f,8,70013,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589790,9,11983,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589791,10,80789,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589792,10,7317,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589793,4,84008,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589794,10,1162,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589795,8,7834,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589796,5,10876,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589797,10,34861,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589798,10,79184,6658a7bce78a105a02fbbf1d
666a7cd920b09da894589799,8,6169,6658a7bce78a105a02fbbf1d
666a7cd920b09da89458979a,8,38117,6658a7bce78a105a02fbbfdd
666a7cd920b09da89458979b,5,78480,6658a7bce78a105a02fbbfdd
666a7cd920b09da89458979c,9,7834,6658a7bce78a105a02fbbfdd
666a7cd920b09da89458979d,8,6169,6658a7bce78a105a02fbbfdd
666a7cd920b09da89458979e,8,99482,6658a7bce78a105a02fbbfdd
666a7cd920b09da89458979f,8,11983,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a0,9,1162,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a1,6,73994,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a2,10,52995,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a3,10,99681,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a4,7,60959,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a5,6,81241,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a6,10,12669,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a7,10,78972,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a8,9,68059,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897a9,8,34861,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897aa,10,7441,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897ab,9,36497,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897ac,8,70415,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897ad,2,8771,6658a7bce78a105a02fbbfdd
666a7cd920b09da8945897ae,10,42569,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897af,5,54140,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b0,9,64889,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b1,9,9,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b2,7,35511,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b3,9,48255,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b4,10,1162,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b5,4,21046,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b6,2,51314,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b7,8,11983,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b8,9,32338,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897b9,7,34280,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897ba,9,83666,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897bb,10,10541,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897bc,8,67429,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897bd,5,33645,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897be,9,93264,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897bf,8,46334,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897c0,10,24025,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897c1,4,74765,6658a7bce78a105a02fbbfb9
666a7cd920b09da8945897c2,8,42569,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c3,10,64755,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c4,7,79728,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c5,3,40807,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c6,9,12357,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c7,8,55309,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c8,7,56502,6658a7bce78a105a02fbc773
666a7cd920b09da8945897c9,6,75350,6658a7bce78a105a02fbc773
666a7cd920b09da8945897ca,3,85237,6658a7bce78a105a02fbc773
666a7cd920b09da8945897cb,3,50058,6658a7bce78a105a02fbc773
666a7cd920b09da8945897cc,8,38774,6658a7bce78a105a02fbc773
666a7cd920b09da8945897cd,7,21565,6658a7bce78a105a02fbc773
666a7cd920b09da8945897ce,8,30344,6658a7bce78a105a02fbc773
666a7cd920b09da8945897cf,8,22840,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d0,10,58820,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d1,5,6960,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d2,8,64994,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d3,9,72883,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d4,9,41794,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d5,7,42203,6658a7bce78a105a02fbc773
666a7cd920b09da8945897d6,8,99781,6658a7bce78a105a02fbd138
666a7cd920b09da8945897d7,6,37221,6658a7bce78a105a02fbd138
666a7cd920b09da8945897d8,7,39718,6658a7bce78a105a02fbd138
666a7cd920b09da8945897d9,7,86477,6658a7bce78a105a02fbd138
666a7cd920b09da8945897da,8,8025,6658a7bce78a105a02fbc1a5
